Subject	Gender	Age
100307	F	27
100408	M	33
101107	M	22
101309	M	29
101915	F	35
103111	M	30
103414	F	25
103818	F	32
105014	F	29
105115	M	31
106016	F	33
108828	M	32
110411	M	31
111312	F	31
111716	F	32
113619	F	34
113922	M	32
114419	M	33
115320	F	34
116524	M	27
117122	F	30
118528	F	29
118730	M	23
118932	M	26
120111	F	28
122317	M	31
122620	M	26
123117	M	29
123925	F	26
124422	F	31
125525	F	34
126325	F	28
127630	F	25
127933	M	32
128127	F	27
128632	F	32
129028	M	30
130013	M	26
130316	F	27
131217	F	29
131722	F	28
133019	F	26
133928	M	27
135225	F	22
135932	F	30
136833	M	33
138534	M	25
139637	F	35
140925	F	25
144832	F	22
146432	M	34
147737	F	34
148335	F	31
148840	F	23
149337	M	33
149539	M	24
149741	M	27
151223	F	26
151526	M	28
151627	F	30
153025	F	22
154734	M	34
156637	M	31
159340	M	29
160123	M	32
161731	F	35
162733	F	26
163129	M	28
176542	F	28
178950	M	34
188347	F	28
189450	M	23
190031	F	27
192540	F	28
196750	F	26
198451	M	26
199655	M	32
201111	M	29
208226	F	24
211417	M	36
211720	M	32
212318	F	34
214423	M	23
221319	F	28
239944	F	32
245333	F	31
280739	F	32
298051	F	31
366446	M	24
397760	M	31
414229	M	33
499566	F	28
654754	F	34
672756	M	33
751348	M	26
756055	M	25
792564	F	31
856766	F	33
857263	M	22
899885	F	26
